,,,,,,,,,,,,,,,,,,,,,,
,violet,,yellow,,white,,blue,,green,,red,,IR,,Violet voltage,Violet current,,,,,,
,1.02 -0.40 ,,1.78 0.10 ,0.1,1.92 -0.20 ,,1.02 -0.30 ,,1.02 0.00 ,,1.02 -0.10 ,,1.32 73.00 ,,1.46,0.1,,,,,,    dac_LEDsupply.begin(0x62); // 0x62 sets the hex address of dac
,1.02 0.10 ,,1.80 0.30 ,,1.94 -0.30 ,,1.03 -0.30 ,,1.02 -0.20 ,,1.02 -0.30 ,,1.34 80.20 ,,1.48,-0.2,,,,,,                         // so the arduino addresses the correct DAC.
,1.02 -0.40 ,,1.82 0.40 ,,1.96 -0.40 ,,1.03 0.00 ,,1.02 0.00 ,,1.02 -0.20 ,,1.34 85.20 ,,1.5,-0.1,,,,,,}
,1.02 -0.20 ,,1.83 0.60 ,,1.99 -0.30 ,,1.04 0.00 ,,1.03 -0.10 ,,1.03 -0.20 ,,1.35 91.50 ,,1.53,0.1,,,,,,
,1.02 0.00 ,,1.85 0.80 ,,2.02 -0.40 ,,1.04 0.00 ,,1.03 0.00 ,,1.04 -0.30 ,,1.36 97.50 ,,1.55,-0.2,,,,,,void loop() {
,1.02 -0.10 ,,1.87 1.00 ,,2.04 -0.50 ,,1.06 -0.10 ,,1.03 -0.10 ,,1.04 0.10 ,,1.37 104.40 ,,1.58,-0.5,,,,,,    for( int i = 0; i < 4095 ; i += 20){
,1.02 -0.30 ,,1.89 1.70 ,,2.06 -0.50 ,,1.07 -0.30 ,,1.03 -0.20 ,,1.06 -0.20 ,,0.81 -0.20 ,,1.6,-0.1,,,,,,"        // Since the DAC provides 12-bit resolution, the command"
,1.02 -0.10 ,,1.90 1.70 ,,2.08 -0.40 ,,1.08 -0.10 ,,1.04 -0.10 ,,1.07 -0.10 ,,0.81 -0.30 ,,1.62,-0.3,,,,,,"        // sdac_LEDsupply.setVoltage(0, false); sets the output voltage to 0V and"
,1.03 -0.40 ,,1.92 2.40 ,,2.11 -0.10 ,,1.10 0.00 ,,1.05 -0.10 ,,1.09 -0.20 ,,0.81 -0.30 ,,1.64,-0.3,,,,,,"        // sdac_LEDsupply.setVoltage(4095, false); sets the output voltage to 5V."
,1.02 -0.20 ,,1.94 2.60 ,,2.13 -0.40 ,,1.12 -0.20 ,,1.06 -0.40 ,,1.10 -0.20 ,,0.81 0.10 ,,1.67,-0.3,,,,,,        // Use the dac_LEDsupply.setVoltage command to set your voltage based on where you are in the loop. 
,1.02 -0.20 ,,1.95 3.10 ,,2.16 -0.10 ,,1.14 -0.10 ,,1.07 -0.10 ,,1.12 -0.10 ,,0.81 -0.10 ,,1.69,0,,,,,,        
,1.03 -0.20 ,,1.97 4.10 ,,2.18 -0.20 ,,1.16 -0.30 ,,1.09 0.00 ,,1.14 -0.30 ,,0.81 -0.20 ,,1.72,0,,,,,,        // Set your desired voltage by selecting a linear range from 0 to 4095.
,1.02 -0.40 ,,1.99 4.90 ,,2.20 -0.20 ,,1.18 0.10 ,,1.10 -0.30 ,,1.16 -0.40 ,,0.81 -0.10 ,,1.74,-0.3,,,,,,        // Set the voltage to range from 5V to 0V in 0.025V steps.
,1.02 -0.40 ,,2.01 5.80 ,,2.22 -0.10 ,,1.20 -0.20 ,,1.12 -0.20 ,,1.18 -0.30 ,,0.81 -0.30 ,,1.76,-0.1,,,,,,
,1.02 -0.10 ,,2.02 6.50 ,,2.25 -0.10 ,,1.22 -0.30 ,,1.14 -0.10 ,,1.20 -0.20 ,,0.81 -0.10 ,,1.78,-0.2,,,,,,        // Sweep VDS from 0 to 5V (approximately... may be lower due to BJT stage).
,1.02 -0.30 ,,2.04 7.80 ,,2.27 -0.10 ,,1.24 -0.30 ,,1.16 -0.50 ,,1.22 -0.40 ,,0.81 0.00 ,,1.81,-0.1,,,,,,        // Question: If we increase DAC output by “i+=20” what is the corresponding
,1.02 0.10 ,,2.06 9.00 ,,2.30 -0.10 ,,1.27 -0.30 ,,1.18 -0.20 ,,1.24 -0.10 ,,0.81 -0.30 ,,1.83,-0.3,,,,,,        // change in voltage? about 0.025V
,1.02 0.00 ,,2.07 10.20 ,,2.32 -0.10 ,,1.29 -0.30 ,,1.20 -0.20 ,,1.27 0.00 ,,0.81 -0.10 ,,1.86,-0.2,,,,,,             // Take and print a current reading using the same method as the three lines above 
